Name,EvolvedIn,Culture#,Day#,TimeMeasured,IC95,IC75,IC50,0.04,0.1,0.26,0.66,1.64,4.1,10.2,25.6,64,160,400,1000,1750,2500
V1D14,V041,1,14,48,160,160,160,0.6774,0.636,0.64895,0.63875,0.5948,0.60255,0.6167,0.6383,0.6027,0,0,0.0275,0.1053,0.1059
V1D15,V041,1,15,48,400,400,400,0.6722,0.5963,0.58675,0.57575,0.5455,0.52145,0.567,0.6094,0.6348,0.4308,0,0.0248,0.0831,0.1074
V1D16,V041,1,16,48,400,400,400,0.6409,0.5321,0.55195,0.51905,0.4906,0.51565,0.5297,0.5772,0.6257,0.451,0,0.0193,0.0769,0.1158
V1D17,V041,1,17,48,400,400,400,0.679,0.5887,0.55785,0.51525,0.5279,0.54025,0.5753,0.6013,0.6461,0.4381,0,0.0142,0.0954,0.0468
V1D18,V041,1,18,48,400,400,400,0.6789,0.6213,0.60095,0.55595,0.5714,0.58585,0.6052,0.5986,0.5632,0.4403,0,0.0389,0.0856,0.1069
V1D19,V041,1,19,48,400,400,400,0.6735,0.5684,0.57695,0.52585,0.5639,0.58055,0.564,0.5753,0.5217,0.4408,0,0,0.0483,0.0358
V1D20,V041,1,20,48,400,400,400,0.6955,0.5561,0.56105,0.50375,0.5418,0.54425,0.5677,0.5534,0.5037,0.3847,0,0,0.048,0.003
V1D21,V041,1,21,48,400,400,400,0.8155,0.5621,0.58115,0.52055,0.5429,0.60745,0.5703,0.5439,0.5159,0.4122,0,0,0.0294,0
T2D1,TMP,2,1,24,4.1,4.1,4.1,0.5709,0.5197,0.4963,0.4264,0.37225,0.019,0.00295,0.0038,0.001,0,0.0008,0.00035,0.00205,0.00085
T2D2,TMP,2,2,24,4.1,4.1,4.1,0.5595,0.5157,0.4925,0.4583,0.37485,0.0032,0.00255,0.0012,0.0002,0,0,0,0.01405,0.00025
T2D3,TMP,2,3,24,25.6,10.2,10.2,0.6119,0.6184,0.5573,0.5791,0.50675,0.4779,0.12875,0.0081,0.0013,0,0.0001,0,0.00275,0
T2D4,TMP,2,4,24,25.6,10.2,10.2,0.5745,0.6158,0.565,0.5641,0.51455,0.4956,0.14765,0.0102,0.0021,0.00025,0.0005,0,0.00285,0
T2D5,TMP,2,5,24,64,25.6,10.2,0.5745,0.5836,0.5414,0.5773,0.52655,0.5074,0.22285,0.0511,0.0003,0,0,0,0.00205,0.00315
T2D6,TMP,2,6,24,400,400,400,0.5583,0.6166,0.6154,0.5785,0.55455,0.5312,0.53735,0.6503,0.4909,0.43825,0.0183,0.00015,0.00805,0.00195
T2D7,TMP,2,7,24,400,400,400,0.5692,0.5468,0.5423,0.5378,0.54475,0.451,0.53785,0.6015,0.5007,0.40005,0.0088,0.00045,0.00955,0.00105
T2D8,TMP,2,8,24,400,400,400,0.6028,0.5772,0.5714,0.5553,0.54175,0.4979,0.57035,0.6402,0.4846,0.40665,0.0093,0,0.00995,0.00105
T2D9,TMP,2,9,24,1750,1000,1000,0.5632,0.5205,0.5236,0.5187,0.53625,0.5137,0.57515,0.6119,0.4744,0.43805,0.4158,0.03465,0.01165,0.00095
T2D10,TMP,2,10,24,2500,1750,1000,0.5238,0.513,0.5387,0.5235,0.52455,0.5271,0.55055,0.5649,0.5139,0.47775,0.4305,0.14865,0.03465,0.00215
T2D11,TMP,2,11,24,2500,1750,1000,0.5463,0.4915,0.4875,0.4998,0.51615,0.535,0.52185,0.5701,0.4804,0.47135,0.4221,0.16855,0.05235,0.00325
T2D12,TMP,2,12,24,2500,1750,1000,0.5358,0.4894,0.4709,0.4749,0.50455,0.5323,0.50775,0.5708,0.4624,0.45775,0.4201,0.18675,0.05675,0.00415
