Replica,Name,EvolvedIn,MeasuredIn,Culture#,IC95,IC75,IC50,0.04,0.66,1.64,4.1,10.2,25.6,64.0,160.0,400.0,1000.0,1750.0,2500.0
3,V6D21,V041,TMP,6,6250.0,2500.0,1750.0,0.49460000000000004,0.47859999999999997,0.5152,0.48569999999999997,0.48200000000000004,0.4807,0.4591,0.4667,0.3781,0.2623,0.1698,0.068
4,V6D21,V041,TMP,6,6250.0,2500.0,1750.0,0.48760000000000003,0.48000000000000004,0.5039,0.49210000000000004,0.5011,0.48150000000000004,0.4894,0.4434,0.3765,0.3115,0.1718,0.08990000000000001
5,V6D21,V041,TMP,6,6250.0,2500.0,1750.0,0.4891,0.49410000000000004,0.5199,0.4905,0.49879999999999997,0.4968,0.4705,0.44870000000000004,0.386,0.2661,0.1693,0.0635
6,V6D21,V041,TMP,6,6250.0,2500.0,1000.0,0.4901,0.5023,0.5294000000000001,0.4935,0.4996,0.5546,0.47559999999999997,0.47809999999999997,0.388,0.2713,0.1751,0.0701
7,V6D21,V041,TMP,6,6250.0,2500.0,1750.0,0.495,0.502,0.5238,0.5009,0.5386,0.4951,0.48580000000000007,0.4444,0.3917,0.2824,0.1673,0.0807
1,V7D21,V041,TMP,7,2500.0,1750.0,1750.0,0.522,0.447,0.4473,0.4581,0.4511,0.4727,0.49779999999999996,0.4266,0.37760000000000005,0.27590000000000003,0.09720000000000001,0.016399999999999998
2,V7D21,V041,TMP,7,2500.0,1750.0,1750.0,0.4891,0.4559,0.4501,0.46380000000000005,0.44930000000000003,0.4809,0.48000000000000004,0.4386,0.3671,0.2502,0.09769999999999998,0.014900000000000004
3,V7D21,V041,TMP,7,2500.0,1750.0,1000.0,0.5087999999999999,0.4544,0.47100000000000003,0.4793,0.4765,0.46730000000000005,0.46149999999999997,0.4516,0.37250000000000005,0.25039999999999996,0.10389999999999999,0.011799999999999998
4,V7D21,V041,TMP,7,2500.0,1750.0,1000.0,0.5609999999999999,0.4884,0.5017,0.4864,0.4485,0.4929,0.4892,0.4786,0.386,0.24810000000000001,0.10339999999999999,0.014499999999999999
5,V7D21,V041,TMP,7,2500.0,1750.0,1750.0,0.5129,0.4964,0.4945,0.4984,0.461,0.5056,0.5121,0.4758,0.39,0.25780000000000003,0.11879999999999999,0.014600000000000002
6,V7D21,V041,TMP,7,2500.0,1750.0,1750.0,0.5204,0.5077999999999999,0.4943,0.5037,0.5238999999999999,0.5192,0.5109,0.4855999999999999,0.40569999999999995,0.26339999999999997,0.1023,0.0121
7,V7D21,V041,TMP,7,2500.0,1750.0,1000.0,0.5365,0.5012,0.5261,0.5123000000000001,0.5226,0.5245,0.5105000000000001,0.497,0.3889,0.2558,0.101,0.010100000000000005
1,V8D21,V041,TMP,8,1000.0,1000.0,1000.0,0.39289999999999997,0.36929999999999996,0.35860000000000003,0.3567,0.3508,0.37879999999999997,0.37220000000000003,0.3352,0.24830000000000002,0.010499999999999995,0.000899999999999998,0.0
2,V8D21,V041,TMP,8,1000.0,1000.0,1000.0,0.36929999999999996,0.3589,0.3373,0.32830000000000004,0.3472,0.362,0.33840000000000003,0.3488,0.26230000000000003,0.009099999999999997,0.0011999999999999997,0.0
3,V8D21,V041,TMP,8,1000.0,1000.0,1000.0,0.3811,0.34909999999999997,0.33690000000000003,0.3319,0.3515,0.35559999999999997,0.3385,0.3085,0.2465,0.0085,0.0001999999999999988,0.0
4,V8D21,V041,TMP,8,1000.0,1000.0,1000.0,0.35769999999999996,0.3769,0.3775,0.3379,0.3725,0.3887,0.3542,0.3115,0.2481,0.009999999999999995,0.00030000000000000165,0.0
5,V8D21,V041,TMP,8,1000.0,1000.0,1000.0,0.3831,0.36269999999999997,0.3407,0.3637,0.3685,0.41559999999999997,0.3549,0.3094,0.24980000000000002,0.0085,0.0020000000000000018,0.0
6,V8D21,V041,TMP,8,1000.0,1000.0,1000.0,0.3855,0.3827,0.3439,0.3319,0.3549,0.3758,0.3524,0.372,0.24009999999999998,0.009399999999999999,0.002599999999999998,0.0
7,V8D21,V041,TMP,8,1000.0,1000.0,1000.0,0.3916,0.3545,0.3681,0.32909999999999995,0.4099,0.3876,0.339,0.31429999999999997,0.24870000000000003,0.008899999999999998,0.0016000000000000042,0.0
